song titles,artist
last night,morgan wallen
fast car,luke combs
calm down,rema & selena gomez
flowers,miley cyrus
all my life,lil durk featuring j. cole
favorite song,toosii
barbie world,nicki minaj & ice spice with aqua
karma,taylor swift featuring ice spice
kill bill,sza
creepin',"metro boomin, the weeknd & 21 savage"
snooze,sza
fukumean,gunna
cruel summer,taylor swift
ella baila sola,eslabon armado x peso pluma
sure thing,miguel
anti-hero,taylor swift
something in the orange,zach bryan
need a favor,jelly roll
oh u went,young thug featuring drake
die for you,the weeknd & ariana grande
you proof,morgan wallen
thinkin' bout me,morgan wallen
next thing you know,jordan davis
cupid,fifty fifty
la bebe,yng lvcas x peso pluma
sabor fresa,fuerza regida
memory lane,old dominion
un x100to,grupo frontera x bad bunny
chemical,post malone
luna,peso pluma & junior h
dance the night,dua lipa
religiously,bailey zimmerman
i'm good (blue),david guetta & bebe rexha
eyes closed,ed sheeran
lady gaga,"peso pluma, gabito ballesteros & junior h"
search & rescue,drake
thought you should know,morgan wallen
where she goes,bad bunny
parade on cleveland,young thug featuring drake
dancin' in the country,tyler hubbard
put it on da floor again,latto featuring cardi b
area codes,kali
"boy's a liar, pt. 2",pinkpantheress & ice spice
bury me in georgia,kane brown
love you anyway,luke combs
tqm,fuerza regida
thank god,kane brown with katelyn brown
bye,peso pluma
one thing at a time,morgan wallen
players,coi leray
stand by me,lil durk featuring morgan wallen
cars bring me out,young thug featuring future
princess diana,ice spice & nicki minaj
vvs,"peso pluma, edgardo nunez & los dareyes de la sierra"
"bzrp music sessions, vol. 55",bizarrap & peso pluma
wit da racks,"young thug featuring 21 savage, travis scott & yak gotti"
daylight,david kushner
doomsday.,juice wrld & cordae
want me dead,young thug featuring 21 savage
attention,doja cat
peaches & eggplants,young nudy featuring 21 savage
what it is (block boy),doechii featuring kodak black
rubicon,peso pluma
back to the moon,gunna
your heart or mine,jon pardi
calling,"metro boomin, swae lee & nav featuring a boogie wit da hoodie"
"you, me, & whiskey",justin moore & priscilla block
waffle house,jonas brothers
mourning,post malone
hellcat kenny,young thug featuring lil uzi vert
tqg,karol g x shakira
prc,peso pluma x natanael cano
baby don't hurt me,"david guetta, anne-marie & coi leray"
see you again,"tyler, the creator featuring kali uchis"
popular,"the weeknd, playboi carti & madonna"
por las noches,peso pluma
dial drunk,noah kahan
money on the dresser,young thug
annihilate,"metro boomin, swae lee, lil wayne & offset"
el azul,junior h x peso pluma
uncle m,young thug
cowgirls,morgan wallen featuring ernest
rodeo dr,gunna
fight the feeling,rod wave
self love,metro boomin & coi leray
nueva vida,peso pluma
fragil,yahritza y su esencia x grupo frontera
bread & butter,gunna
watermelon moonshine,lainey wilson
lagunas,peso pluma & jasiel nunez
am i dreaming,"metro boomin, a$ap rocky & roisee"
ain't that some,morgan wallen
rosa pastel,peso pluma & jasiel nunez
pound town 2,sexyy red & tay keith & nicki minaj
icu,coco jones
jaded,miley cyrus
abracadabra,young thug featuring travis scott
truck bed,hardy
save me,jelly roll with lainey wilson
gucci grocery bag,young thug
